FID,UF,Municipio,Faixa_de_r,Produto,Valor,Concluidas,Entregues,Percentual,IF,Latitude,Longitude
MCMV.19463,GO,Chapad�o do C�u,Faixa 2,CCFGTS,1218550,17,17,100,Caixa,,-52.54898599999984,-18.40733
MCMV.19464,GO,Chapad�o do C�u,Faixa 2,CCFGTS,118182,2,2,100,Caixa,,-52.54898599999984,-18.40733
MCMV.19465,GO,Chapad�o do C�u,Faixa 3,CCFGTS,63011.6,1,1,100,Caixa,,-52.54898599999984,-18.40733
MCMV.19459,GO,Cezarina,Faixa 1,CCFGTS,110029,2,2,100,Caixa,,-49.77581,-16.971829
MCMV.19460,GO,Cezarina,Faixa 1,CCFGTS,63385,1,1,100,Caixa,,-49.77581,-16.971829
MCMV.19633,GO,Goianira,Faixa 1,CCFGTS,30610700,509,509,100,Caixa,,-49.427,-16.49474599999985
MCMV.19634,GO,Goianira,Faixa 1,CCFGTS,19620100,411,411,100,Caixa,,-49.427,-16.49474599999985
MCMV.19635,GO,Goianira,Faixa 2,CCFGTS,7956980,126,126,100,Caixa,,-49.427,-16.49474599999985
MCMV.19636,GO,Goianira,Faixa 2,CCFGTS,9578890,150,150,100,Caixa,,-49.427,-16.49474599999985
MCMV.19637,GO,Goianira,Faixa 3,CCFGTS,128854,2,2,100,Caixa,,-49.427,-16.49474599999985
MCMV.19638,GO,Goianira,Faixa 1,Entidades,5342360,0,0,63.66,Caixa,,-49.427,-16.49474599999985
MCMV.19639,GO,Goianira,Faixa 1,Entidades,5965580,0,0,65.78,Caixa,,-49.427,-16.49474599999985
MCMV.19640,GO,Goianira,Faixa 1,FAR,19499200,500,0,100,Caixa,,-49.427,-16.49474599999985
MCMV.19641,GO,Goianira,Faixa 2,CCFGTS,5850000,0,0,57.02,Caixa,,-49.427,-16.49474599999985
MCMV.19657,GO,Guap�,Faixa 1,CCFGTS,745305,14,14,100,Caixa,,-49.534531,-16.829656
MCMV.19658,GO,Guap�,Faixa 1,CCFGTS,1061080,22,22,100,Caixa,,-49.534531,-16.829656
MCMV.19659,GO,Guap�,Faixa 2,CCFGTS,298732,4,4,100,Caixa,,-49.534531,-16.829656
MCMV.19660,GO,Guap�,Faixa 2,CCFGTS,918750,14,14,100,Caixa,,-49.534531,-16.829656
MCMV.19661,GO,Guap�,Faixa 3,CCFGTS,63571.2,1,1,100,Caixa,,-49.534531,-16.829656
MCMV.19662,GO,Guap�,Faixa 1,Entidades,3236830,0,0,86.57,Caixa,,-49.534531,-16.829656
MCMV.19663,GO,Guap�,Faixa 1,Entidades,3878810,0,0,91.49,Caixa,,-49.534531,-16.829656
MCMV.19648,GO,Goiatuba,Faixa 1,CCFGTS,1703330,26,26,100,Caixa,,-49.36580699999985,-18.010531
MCMV.19649,GO,Goiatuba,Faixa 1,CCFGTS,1603860,26,26,100,Caixa,,-49.36580699999985,-18.010531
MCMV.19650,GO,Goiatuba,Faixa 2,CCFGTS,2095830,30,30,100,Caixa,,-49.36580699999985,-18.010531
MCMV.19651,GO,Goiatuba,Faixa 2,CCFGTS,1958850,32,32,100,Caixa,,-49.36580699999985,-18.010531
MCMV.19652,GO,Goiatuba,Faixa 3,CCFGTS,186463,3,3,100,Caixa,,-49.36580699999985,-18.010531
MCMV.19653,GO,Goiatuba,Faixa 1,Entidades,2844000,0,0,1,Caixa,,-49.36580699999985,-18.010531
MCMV.19654,GO,Gouvel�ndia,Faixa 1,CCFGTS,117123,1,1,100,Caixa,,-50.13935,-18.43579999999986
MCMV.19655,GO,Gouvel�ndia,Faixa 2,CCFGTS,67397.6,1,1,100,Caixa,,-50.13935,-18.43579999999986
MCMV.19656,GO,Gouvel�ndia,Faixa 2,CCFGTS,88447.5,2,2,100,Caixa,,-50.13935,-18.43579999999986
MCMV.19642,GO,Goi�s,Faixa 1,CCFGTS,1070380,19,19,100,Caixa,,-50.13996,-15.9333
MCMV.19643,GO,Goi�s,Faixa 1,CCFGTS,1987780,35,35,100,Caixa,,-50.13996,-15.9333
MCMV.19644,GO,Goi�s,Faixa 2,CCFGTS,906761,12,12,100,Caixa,,-50.13996,-15.9333
MCMV.19645,GO,Goi�s,Faixa 2,CCFGTS,1608870,20,20,100,Caixa,,-50.13996,-15.9333
MCMV.19646,GO,Goi�s,Faixa 3,CCFGTS,129000,2,2,100,Caixa,,-50.13996,-15.9333
MCMV.19647,GO,Goi�s,Faixa 1,Oferta Publica,900000,0,0,18,BICBANCO,,-50.13996,-15.9333
MCMV.19683,GO,Inaciol�ndia,Faixa 1,CCFGTS,68287.4,1,1,100,Caixa,,-49.98876,-18.486896
MCMV.19684,GO,Inaciol�ndia,Faixa 2,CCFGTS,70424.6,1,1,100,Caixa,,-49.98876,-18.486896
MCMV.19685,GO,Inaciol�ndia,Faixa 2,CCFGTS,133219,0,0,100,Caixa,,-49.98876,-18.486896
MCMV.19686,GO,Inaciol�ndia,Faixa 1,Oferta Publica,336000,0,0,62,BICBANCO,,-49.98876,-18.486896
MCMV.19687,GO,Indiara,Faixa 1,CCFGTS,64403,1,1,100,Caixa,,-49.98616,-17.138739
MCMV.19688,GO,Indiara,Faixa 2,CCFGTS,140676,2,2,100,Caixa,,-49.98616,-17.138739
MCMV.19689,GO,Indiara,Faixa 2,CCFGTS,204500,3,3,100,Caixa,,-49.98616,-17.138739
MCMV.19690,GO,Indiara,Faixa 3,CCFGTS,66664,1,1,100,Caixa,,-49.98616,-17.138739
MCMV.19674,GO,Hidrol�ndia,Faixa 1,CCFGTS,627299,12,12,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19675,GO,Hidrol�ndia,Faixa 1,CCFGTS,638832,12,12,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19676,GO,Hidrol�ndia,Faixa 2,CCFGTS,1151120,14,14,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19677,GO,Hidrol�ndia,Faixa 2,CCFGTS,1000820,14,14,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19678,GO,Hidrol�ndia,Faixa 3,CCFGTS,85500,1,1,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19679,GO,Hidrol�ndia,Faixa 1,FAR,17520000,450,449,100,Caixa,,-49.2265349999999,-16.96258699999987
MCMV.19680,GO,Iaciara,Faixa 1,CCFGTS,153857,3,3,100,Caixa,,-46.633452,-14.1011
MCMV.19681,GO,Iaciara,Faixa 2,CCFGTS,54014.1,1,1,100,Caixa,,-46.633452,-14.1011
MCMV.19682,GO,Iaciara,Faixa 1,Oferta Publica,360000,0,0,38,FAM-LIA PAULISTA,,-46.633452,-14.1011
MCMV.19669,GO,Heitora�,Faixa 1,CCFGTS,90300,1,1,100,Caixa,,-49.82682599999987,-15.718985999999802
MCMV.19670,GO,Heitora�,Faixa 2,CCFGTS,128502,2,2,100,Caixa,,-49.82682599999987,-15.718985999999802
MCMV.19671,GO,Heitora�,Faixa 1,Oferta Publica,336000,0,0,40,BANCO PAULISTA,,-49.82682599999987,-15.718985999999802
MCMV.19672,GO,Heitora�,Faixa 1,Rural,18000,0,0,1,Caixa,,-49.82682599999987,-15.718985999999802
MCMV.19673,GO,Heitora�,Faixa 1,Rural,21600,0,0,70.59,Caixa,,-49.82682599999987,-15.718985999999802
MCMV.19664,GO,Guara�ta,Faixa 1,CCFGTS,60034.6,1,1,100,Caixa,,-50.02652799999987,-15.612137
MCMV.19665,GO,Guara�ta,Faixa 1,CCFGTS,62287,1,1,100,Caixa,,-50.02652799999987,-15.612137
MCMV.19666,GO,Guara�ta,Faixa 2,CCFGTS,87294.4,1,1,100,Caixa,,-50.02652799999987,-15.612137
MCMV.19667,GO,Guarinos,Faixa 1,Rural,129600,0,0,67.59,Caixa,,-49.70061,-14.729215
MCMV.19668,GO,Guarinos,Faixa 1,Rural,60000,0,0,69.47,Caixa,,-49.70061,-14.729215
MCMV.19711,GO,Ipor�,Faixa 1,CCFGTS,756727,14,14,100,Caixa,,-51.11805,-16.43976
MCMV.19712,GO,Ipor�,Faixa 1,CCFGTS,800718,18,18,100,Caixa,,-51.11805,-16.43976
MCMV.19713,GO,Ipor�,Faixa 2,CCFGTS,1273230,17,17,100,Caixa,,-51.11805,-16.43976
MCMV.19714,GO,Ipor�,Faixa 2,CCFGTS,1164230,14,14,100,Caixa,,-51.11805,-16.43976
MCMV.19715,GO,Ipor�,Faixa 3,CCFGTS,216000,3,3,100,Caixa,,-51.11805,-16.43976
MCMV.19716,GO,Ipor�,Faixa 2,CCFGTS,1500000,0,0,74.96,Caixa,,-51.11805,-16.43976
MCMV.19701,GO,Ipameri,Faixa 2,CCFGTS,2181530,27,27,100,Caixa,,-48.158118,-17.721544
MCMV.19702,GO,Ipameri,Faixa 3,CCFGTS,70000,1,1,100,Caixa,,-48.158118,-17.721544
MCMV.19703,GO,Ipameri,Faixa 1,Rural,105000,0,0,0,Caixa,,-48.158118,-17.721544
MCMV.19704,GO,Ipameri,Faixa 1,Rural,45200,0,0,1,Caixa,,-48.158118,-17.721544
MCMV.19705,GO,Ipameri,Faixa 1,Rural,109200,7,7,100,Caixa,,-48.158118,-17.721544
MCMV.19706,GO,Ipiranga de Goi�s,Faixa 1,CCFGTS,40960.7,1,1,100,Caixa,,-49.669665999999836,-15.169492999999875
MCMV.19707,GO,Ipiranga de Goi�s,Faixa 1,Rural,78000,0,0,1,Caixa,,-49.669665999999836,-15.169492999999875
MCMV.19708,GO,Ipiranga de Goi�s,Faixa 1,Rural,90000,0,0,52.01,Caixa,,-49.669665999999836,-15.169492999999875
MCMV.19709,GO,Ipiranga de Goi�s,Faixa 1,Rural,518400,0,0,52.92,Caixa,,-49.669665999999836,-15.169492999999875
MCMV.19710,GO,Ipiranga de Goi�s,Faixa 1,Rural,36000,0,0,54.19,Caixa,,-49.669665999999836,-15.169492999999875
MCMV.19698,GO,Ipameri,Faixa 1,CCFGTS,589732,9,9,100,Caixa,,-48.158118,-17.721544
MCMV.19699,GO,Ipameri,Faixa 1,CCFGTS,1322180,23,23,100,Caixa,,-48.158118,-17.721544
MCMV.19700,GO,Ipameri,Faixa 2,CCFGTS,2561060,34,34,100,Caixa,,-48.158118,-17.721544
MCMV.19693,GO,Inhumas,Faixa 2,CCFGTS,10278300,133,133,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19694,GO,Inhumas,Faixa 2,CCFGTS,10339500,141,141,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19695,GO,Inhumas,Faixa 3,CCFGTS,76450,1,1,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19696,GO,Inhumas,Faixa 3,CCFGTS,75000,1,1,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19697,GO,Inhumas,Faixa 2,CCFGTS,2000000,40,40,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19691,GO,Inhumas,Faixa 1,CCFGTS,3942720,55,55,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19692,GO,Inhumas,Faixa 1,CCFGTS,4475290,76,76,100,Caixa,,-49.50011099999983,-16.361056999999846
MCMV.19732,GO,Itaguaru,Faixa 2,CCFGTS,62102,1,1,100,Caixa,,-49.63537,-15.75647
MCMV.19733,GO,Itaguaru,Faixa 1,Oferta Publica,360000,0,0,1,BANCO SCHAHIN,,-49.63537,-15.75647
MCMV.19734,GO,Itaguaru,Faixa 1,Rural,54000,0,0,1,Caixa,,-49.63537,-15.75647
MCMV.19735,GO,Itaguaru,Faixa 1,Rural,86400,0,0,44.95,Caixa,,-49.63537,-15.75647
MCMV.19736,GO,Itaguaru,Faixa 1,Rural,108000,0,0,50.58,Caixa,,-49.63537,-15.75647
MCMV.19729,GO,Itaguaru,Faixa 1,CCFGTS,170104,3,3,100,Caixa,,-49.63537,-15.75647
MCMV.19730,GO,Itaguaru,Faixa 1,CCFGTS,62081.7,1,1,100,Caixa,,-49.63537,-15.75647
MCMV.19731,GO,Itaguaru,Faixa 2,CCFGTS,146069,2,2,100,Caixa,,-49.63537,-15.75647
MCMV.19724,GO,Itaguari,Faixa 1,CCFGTS,159331,3,3,100,Caixa,,-49.60708,-15.918044
MCMV.19725,GO,Itaguari,Faixa 1,CCFGTS,89802.4,1,1,100,Caixa,,-49.60708,-15.918044
MCMV.19726,GO,Itaguari,Faixa 2,CCFGTS,86578.7,1,1,100,Caixa,,-49.60708,-15.918044
MCMV.19727,GO,Itaguari,Faixa 1,Oferta Publica,336000,0,0,1,BANCO SCHAHIN,,-49.60708,-15.918044
MCMV.19728,GO,Itaguari,Faixa 1,Oferta Publica,24000,0,0,1,BANCO SCHAHIN,,-49.60708,-15.918044
MCMV.19718,GO,Itabera�,Faixa 1,CCFGTS,1800800,28,28,100,Caixa,,-49.80603399999984,-16.02055
MCMV.19719,GO,Itabera�,Faixa 1,CCFGTS,957206,11,11,100,Caixa,,-49.80603399999984,-16.02055
MCMV.19720,GO,Itabera�,Faixa 2,CCFGTS,7155910,99,99,100,Caixa,,-49.80603399999984,-16.02055
MCMV.19721,GO,Itabera�,Faixa 2,CCFGTS,3053050,33,33,100,Caixa,,-49.80603399999984,-16.02055
MCMV.19722,GO,Itabera�,Faixa 3,CCFGTS,318845,5,5,100,Caixa,,-49.80603399999984,-16.02055
MCMV.19723,GO,Itabera�,Faixa 1,Oferta Publica,900000,0,0,71,FAM-LIA PAULISTA,,-49.80603399999984,-16.02055
MCMV.19717,GO,Israel�ndia,Faixa 2,CCFGTS,122106,2,2,100,Caixa,,-50.90872199999984,-16.314388999999892
MCMV.18915,MT,Barra do Gar�as,Faixa 1,FAR,14899000,0,0,1,Caixa,,-52.263953,-15.88041
MCMV.18910,MT,Barra do Gar�as,Faixa 1,CCFGTS,4406820,72,72,100,Caixa,,-52.263953,-15.88041
MCMV.18911,MT,Barra do Gar�as,Faixa 1,CCFGTS,1591910,19,19,100,Caixa,,-52.263953,-15.88041
MCMV.18912,MT,Barra do Gar�as,Faixa 2,CCFGTS,5064070,68,68,100,Caixa,,-52.263953,-15.88041
MCMV.18913,MT,Barra do Gar�as,Faixa 2,CCFGTS,1913160,16,16,100,Caixa,,-52.263953,-15.88041
MCMV.18914,MT,Barra do Gar�as,Faixa 3,CCFGTS,139017,2,2,100,Caixa,,-52.263953,-15.88041
MCMV.18903,MT,Barra do Bugres,Faixa 1,CCFGTS,1686000,27,27,100,Caixa,,-57.18778,-15.07016
MCMV.18904,MT,Barra do Bugres,Faixa 1,CCFGTS,2328060,48,48,100,Caixa,,-57.18778,-15.07016
MCMV.18905,MT,Barra do Bugres,Faixa 2,CCFGTS,1181970,18,18,100,Caixa,,-57.18778,-15.07016
MCMV.18906,MT,Barra do Bugres,Faixa 2,CCFGTS,2163600,40,40,100,Caixa,,-57.18778,-15.07016
MCMV.18907,MT,Barra do Bugres,Faixa 3,CCFGTS,67500,1,1,100,Caixa,,-57.18778,-15.07016
MCMV.18908,MT,Barra do Bugres,Faixa 3,CCFGTS,133100,2,2,100,Caixa,,-57.18778,-15.07016
MCMV.18909,MT,Barra do Bugres,Faixa 1,Oferta Publica,900000,0,0,72,CHB,,-57.18778,-15.07016
MCMV.18931,MT,Campin�polis,Faixa 1,CCFGTS,149601,3,3,100,Caixa,,-52.89298,-14.516182
MCMV.11435,SP,Salto,Faixa 1,FAR,18240000,0,0,1,Caixa,,-47.29309,-23.199591999999825
MCMV.18932,MT,Campin�polis,Faixa 2,CCFGTS,325825,5,5,100,Caixa,,-52.89298,-14.516182
MCMV.18933,MT,Campin�polis,Faixa 1,Oferta Publica,360000,0,0,41,BANCO TRICURY,,-52.89298,-14.516182
MCMV.18902,MT,Bar�o de Melga�o,Faixa 1,Oferta Publica,360000,30,30,100,ECONOMISA,,-55.96233699999988,-16.20669
MCMV.18921,MT,C�ceres,Faixa 1,CCFGTS,3176510,47,47,100,Caixa,,-57.681798,-16.076414
MCMV.18922,MT,C�ceres,Faixa 1,CCFGTS,5161960,99,99,100,Caixa,,-57.681798,-16.076414
MCMV.18923,MT,C�ceres,Faixa 2,CCFGTS,5019910,67,67,100,Caixa,,-57.681798,-16.076414
MCMV.18924,MT,C�ceres,Faixa 2,CCFGTS,5578100,73,73,100,Caixa,,-57.681798,-16.076414
MCMV.18925,MT,C�ceres,Faixa 3,CCFGTS,95765.2,2,2,100,Caixa,,-57.681798,-16.076414
MCMV.18926,MT,C�ceres,Faixa 3,CCFGTS,306904,4,4,100,Caixa,,-57.681798,-16.076414
MCMV.18927,MT,C�ceres,Faixa 1,FAR,18536700,0,0,33.49,Caixa,,-57.681798,-16.076414
MCMV.18928,MT,C�ceres,Faixa 1,FAR,3525000,0,0,41.71,Caixa,,-57.681798,-16.076414
MCMV.18929,MT,C�ceres,Faixa 1,FAR,21625500,565,565,100,Caixa,,-57.681798,-16.076414
MCMV.18930,MT,C�ceres,Faixa 2,CCFGTS,4176000,72,0,99,Caixa,,-57.681798,-16.076414
MCMV.18916,MT,Brasnorte,Faixa 1,CCFGTS,110961,2,2,100,Caixa,,-57.983341,-12.147402
MCMV.18917,MT,Brasnorte,Faixa 2,CCFGTS,81175.1,1,1,100,Caixa,,-57.983341,-12.147402
MCMV.18918,MT,Brasnorte,Faixa 2,CCFGTS,234000,4,4,100,Caixa,,-57.983341,-12.147402
MCMV.18919,MT,Brasnorte,Faixa 1,Oferta Publica,348000,0,0,49,BANCO TRICURY,,-57.983341,-12.147402
MCMV.18920,MT,Brasnorte,Faixa 1,Oferta Publica,12000,0,0,49,BANCO TRICURY,,-57.983341,-12.147402
MCMV.18948,MT,Canarana,Faixa 1,CCFGTS,1574900,27,27,100,Caixa,,-52.270492999999874,-13.551501999999857
MCMV.18949,MT,Canarana,Faixa 1,CCFGTS,294027,5,5,100,Caixa,,-52.270492999999874,-13.551501999999857
MCMV.18950,MT,Canarana,Faixa 2,CCFGTS,1342770,18,18,100,Caixa,,-52.270492999999874,-13.551501999999857
MCMV.18951,MT,Canarana,Faixa 2,CCFGTS,388240,4,4,100,Caixa,,-52.270492999999874,-13.551501999999857
MCMV.18952,MT,Canarana,Faixa 1,Oferta Publica,360000,26,26,90,BANCO TRICURY,,-52.270492999999874,-13.551501999999857
MCMV.18953,MT,Carlinda,Faixa 1,Oferta Publica,360000,29,29,97,FAM-LIA PAULISTA,,-55.84167099999985,-9.949118
MCMV.18954,MT,Chapada dos Guimar�es,Faixa 1,CCFGTS,62058.2,1,1,100,Caixa,,-55.728402,-15.448252
MCMV.18955,MT,Chapada dos Guimar�es,Faixa 2,CCFGTS,165496,2,2,100,Caixa,,-55.728402,-15.448252
MCMV.18956,MT,Chapada dos Guimar�es,Faixa 2,CCFGTS,67700,1,1,100,Caixa,,-55.728402,-15.448252
MCMV.18940,MT,Campo Verde,Faixa 1,CCFGTS,805878,12,12,100,Caixa,,-55.16258,-15.54498
MCMV.18941,MT,Campo Verde,Faixa 1,CCFGTS,376723,4,4,100,Caixa,,-55.16258,-15.54498
MCMV.18942,MT,Campo Verde,Faixa 2,CCFGTS,3795150,47,47,100,Caixa,,-55.16258,-15.54498
MCMV.18943,MT,Campo Verde,Faixa 2,CCFGTS,1477860,10,10,100,Caixa,,-55.16258,-15.54498
MCMV.18944,MT,Campo Verde,Faixa 3,CCFGTS,30010.4,1,1,100,Caixa,,-55.16258,-15.54498
MCMV.18945,MT,Campo Verde,Faixa 1,FAR,16126100,0,0,1,Caixa,,-55.16258,-15.54498
MCMV.18946,MT,Campo Verde,Faixa 2,CCFGTS,2600000,0,0,17.01,Caixa,,-55.16258,-15.54498
MCMV.18947,MT,Campo Verde,Faixa 2,CCFGTS,3851630,0,0,29.8,Caixa,,-55.16258,-15.54498
MCMV.18934,MT,Campo Novo do Parecis,Faixa 1,CCFGTS,2332480,35,35,100,Caixa,,-57.89072,-13.65873
MCMV.18935,MT,Campo Novo do Parecis,Faixa 1,CCFGTS,1289760,7,7,100,Caixa,,-57.89072,-13.65873
MCMV.18936,MT,Campo Novo do Parecis,Faixa 2,CCFGTS,4649980,65,65,100,Caixa,,-57.89072,-13.65873
MCMV.18937,MT,Campo Novo do Parecis,Faixa 2,CCFGTS,3932470,23,23,100,Caixa,,-57.89072,-13.65873
MCMV.18938,MT,Campo Novo do Parecis,Faixa 3,CCFGTS,283380,5,5,100,Caixa,,-57.89072,-13.65873
MCMV.18939,MT,Campo Novo do Parecis,Faixa 3,CCFGTS,167665,0,0,100,Caixa,,-57.89072,-13.65873
MCMV.19008,MT,Denise,Faixa 1,CCFGTS,44408.8,1,1,100,Caixa,,-57.05826199999984,-14.7324
MCMV.19009,MT,Diamantino,Faixa 1,CCFGTS,360093,5,5,100,Caixa,,-56.4366,-14.40367
MCMV.19010,MT,Diamantino,Faixa 1,CCFGTS,376996,6,6,100,Caixa,,-56.4366,-14.40367
MCMV.19011,MT,Diamantino,Faixa 2,CCFGTS,2600970,31,31,100,Caixa,,-56.4366,-14.40367
MCMV.19012,MT,Diamantino,Faixa 2,CCFGTS,1310410,18,18,100,Caixa,,-56.4366,-14.40367
MCMV.19013,MT,Diamantino,Faixa 3,CCFGTS,240000,3,3,100,Caixa,,-56.4366,-14.40367
MCMV.19014,MT,Diamantino,Faixa 1,Oferta Publica,360000,0,0,94,ECONOMISA,,-56.4366,-14.40367
MCMV.18979,MT,Cuiab�,Faixa 2,CCFGTS,25132600,0,0,23.55,Caixa,,-56.09667,-15.596109999999896
MCMV.18980,MT,Cuiab�,Faixa 2,CCFGTS,20228000,0,0,24.83,Caixa,,-56.09667,-15.596109999999896
MCMV.18981,MT,Cuiab�,Faixa 2,CCFGTS,46826900,0,0,26.87,Caixa,,-56.09667,-15.596109999999896
MCMV.18982,MT,Cuiab�,Faixa 2,CCFGTS,22800000,0,0,36.18,Caixa,,-56.09667,-15.596109999999896
MCMV.18983,MT,Cuiab�,Faixa 2,CCFGTS,21800000,0,0,36.77,Caixa,,-56.09667,-15.596109999999896
MCMV.18984,MT,Cuiab�,Faixa 2,CCFGTS,11470200,0,0,40.53,Caixa,,-56.09667,-15.596109999999896
MCMV.18985,MT,Cuiab�,Faixa 2,CCFGTS,17100000,0,0,40.71,Caixa,,-56.09667,-15.596109999999896
MCMV.18986,MT,Cuiab�,Faixa 2,CCFGTS,28667900,0,0,62.24,Caixa,,-56.09667,-15.596109999999896
MCMV.18987,MT,Cuiab�,Faixa 2,CCFGTS,24026000,0,0,74.55,Caixa,,-56.09667,-15.596109999999896
MCMV.18998,MT,Cuiab�,Faixa 3,CCFGTS,31146500,0,0,46.38,Caixa,,-56.09667,-15.596109999999896
MCMV.18988,MT,Cuiab�,Faixa 2,CCFGTS,28311000,0,0,81.92,Caixa,,-56.09667,-15.596109999999896
MCMV.18989,MT,Cuiab�,Faixa 2,CCFGTS,1512080,0,0,84.7,Caixa,,-56.09667,-15.596109999999896
MCMV.18990,MT,Cuiab�,Faixa 2,CCFGTS,3200000,0,0,94.69,Caixa,,-56.09667,-15.596109999999896
MCMV.18991,MT,Cuiab�,Faixa 2,CCFGTS,1600000,0,0,94.72,Caixa,,-56.09667,-15.596109999999896
MCMV.1034,MA,Apicum-A�u,Faixa 1,Oferta Publica,360000,0,0,16,ECONOMISA,,-45.0941,-1.461895
MCMV.18992,MT,Cuiab�,Faixa 2,CCFGTS,1904630,0,0,94.89,Caixa,,-56.09667,-15.596109999999896
MCMV.18993,MT,Cuiab�,Faixa 2,CCFGTS,1600000,32,0,95,Caixa,,-56.09667,-15.596109999999896
MCMV.18994,MT,Cuiab�,Faixa 3,CCFGTS,6373000,0,0,13.6,Caixa,,-56.09667,-15.596109999999896
MCMV.18995,MT,Cuiab�,Faixa 3,CCFGTS,37860000,0,0,14.93,Caixa,,-56.09667,-15.596109999999896
MCMV.18996,MT,Cuiab�,Faixa 3,CCFGTS,10556000,0,0,15.97,Caixa,,-56.09667,-15.596109999999896
MCMV.18997,MT,Cuiab�,Faixa 3,CCFGTS,9250910,0,0,46.1,Caixa,,-56.09667,-15.596109999999896
MCMV.18999,MT,Cuiab�,Faixa 3,CCFGTS,11470200,0,0,50.03,Caixa,,-56.09667,-15.596109999999896
MCMV.19000,MT,Cuiab�,Faixa 3,CCFGTS,2951550,0,0,61.1,Caixa,,-56.09667,-15.596109999999896
MCMV.19001,MT,Cuiab�,Faixa 3,CCFGTS,18130400,0,0,79.3,Caixa,,-56.09667,-15.596109999999896
MCMV.19002,MT,Cuiab�,Faixa 3,CCFGTS,5754730,0,0,83.06,Caixa,,-56.09667,-15.596109999999896
MCMV.19003,MT,Cuiab�,Faixa 3,CCFGTS,10693800,0,0,85.03,Caixa,,-56.09667,-15.596109999999896
MCMV.19004,MT,Cuiab�,Faixa 3,CCFGTS,2473650,0,0,94.8,Caixa,,-56.09667,-15.596109999999896
MCMV.19005,MT,Cuiab�,Faixa 3,CCFGTS,8842770,421,123,100,Caixa,,-56.09667,-15.596109999999896
MCMV.19006,MT,Curvel�ndia,Faixa 1,CCFGTS,71034.6,1,1,100,Caixa,,-57.815448,-15.733948
MCMV.19007,MT,Curvel�ndia,Faixa 1,CCFGTS,55300,1,1,100,Caixa,,-57.815448,-15.733948
MCMV.18972,MT,Cuiab�,Faixa 1,FAR,25000000,0,0,1,Caixa,,-56.09667,-15.596109999999896
MCMV.18966,MT,Cuiab�,Faixa 1,CCFGTS,3677680,54,54,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18967,MT,Cuiab�,Faixa 1,CCFGTS,4779960,95,95,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18968,MT,Cuiab�,Faixa 2,CCFGTS,5424140,65,65,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18969,MT,Cuiab�,Faixa 2,CCFGTS,9292600,119,119,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18970,MT,Cuiab�,Faixa 3,CCFGTS,1604260,20,20,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18971,MT,Cuiab�,Faixa 3,CCFGTS,1936500,21,21,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18973,MT,Cuiab�,Faixa 1,FAR,17855700,0,0,70.51,Caixa,,-56.09667,-15.596109999999896
MCMV.18974,MT,Cuiab�,Faixa 1,FAR,85023900,2243,1320,100,Caixa,,-56.09667,-15.596109999999896
MCMV.18975,MT,Cuiab�,Faixa 2,CCFGTS,32214700,0,0,1,Caixa,,-56.09667,-15.596109999999896
MCMV.18976,MT,Cuiab�,Faixa 2,CCFGTS,4100000,0,0,8.32,Caixa,,-56.09667,-15.596109999999896
MCMV.18977,MT,Cuiab�,Faixa 2,CCFGTS,3550000,0,0,10.03,Caixa,,-56.09667,-15.596109999999896
MCMV.18978,MT,Cuiab�,Faixa 2,CCFGTS,13064000,0,0,14.39,Caixa,,-56.09667,-15.596109999999896
MCMV.18958,MT,Col�der,Faixa 1,CCFGTS,79382.8,1,1,100,Caixa,,-55.46098099999978,-10.81345
MCMV.18959,MT,Col�der,Faixa 1,CCFGTS,196092,3,3,100,Caixa,,-55.46098099999978,-10.81345
MCMV.18960,MT,Col�der,Faixa 2,CCFGTS,816325,10,10,100,Caixa,,-55.46098099999978,-10.81345
MCMV.18961,MT,Col�der,Faixa 2,CCFGTS,852654,13,13,100,Caixa,,-55.46098099999978,-10.81345
MCMV.18962,MT,Col�der,Faixa 3,CCFGTS,61000,1,1,100,Caixa,,-55.46098099999978,-10.81345
MCMV.18963,MT,Colniza,Faixa 1,Oferta Publica,900000,0,0,78,FAM-LIA PAULISTA,,-60.30543,-9.292163
MCMV.18964,MT,Comodoro,Faixa 1,Oferta Publica,360000,30,23,100,FAM-LIA PAULISTA,,-59.784751,-13.66144
MCMV.18965,MT,Conquista D'Oeste,Faixa 2,CCFGTS,49714,1,1,100,Caixa,,-59.331747999999834,-14.635045
